City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
190,190,Luanda,AO,2022-03-12 17:38:42,-8.8368,13.2343,82.4,74,20,9.22,few clouds
191,191,Katangli,RU,2022-03-12 17:38:42,51.7102,143.2326,11.95,96,88,4.65,overcast clouds
192,192,Matamoros,MX,2022-03-12 17:38:43,25.5333,-103.25,53.71,30,20,8.05,few clouds
193,193,Ilula,TZ,2022-03-12 17:38:43,-7.6766,36.0366,72.14,96,70,2.37,broken clouds
194,194,Fare,PF,2022-03-12 17:38:43,-16.7,-151.0167,81.3,72,74,10.94,broken clouds
195,195,Kampene,CD,2022-03-12 17:38:44,-3.6,26.6667,69.57,99,99,2.15,moderate rain
196,196,Upernavik,GL,2022-03-12 17:38:44,72.7868,-56.1549,-9.89,92,100,13.31,overcast clouds
197,197,Grand Gaube,MU,2022-03-12 17:38:44,-20.0064,57.6608,79.38,86,26,3.0,scattered clouds
198,198,Te Anau,NZ,2022-03-12 17:38:45,-45.4167,167.7167,45.9,92,8,1.34,clear sky
199,199,Male,MV,2022-03-12 17:38:45,4.1748,73.5089,84.15,74,20,5.75,few clouds
200,200,Oda,JP,2022-03-12 17:38:45,35.1833,132.5,54.27,86,100,9.13,overcast clouds
201,201,Esperance,AU,2022-03-12 17:38:46,-33.8667,121.9,62.44,71,54,5.66,broken clouds
202,202,Broome,US,2022-03-12 17:38:46,42.2506,-75.833,23.45,77,100,18.41,fog
203,203,San Cristobal,VE,2022-03-12 17:38:46,7.7669,-72.225,77.18,56,99,3.09,overcast clouds
204,204,New Norfolk,AU,2022-03-12 17:38:47,-42.7826,147.0587,53.1,98,5,3.09,clear sky
205,205,Great Bend,US,2022-03-12 17:38:47,38.3645,-98.7648,49.84,42,0,17.27,clear sky
206,206,Gedo,ET,2022-03-12 17:38:47,9.0167,37.45,63.68,39,99,2.82,overcast clouds
207,207,Aras,ES,2022-03-12 17:38:48,42.5617,-2.356,54.01,47,0,4.61,clear sky
208,208,Grindavik,IS,2022-03-12 17:38:48,63.8424,-22.4338,37.87,81,75,19.57,broken clouds
209,209,Coquimbo,CL,2022-03-12 17:34:05,-29.9533,-71.3436,64.13,77,100,9.22,overcast clouds
210,210,Bandarbeyla,SO,2022-03-12 17:38:49,9.4942,50.8122,77.54,74,80,12.82,broken clouds
211,211,Tibati,CM,2022-03-12 17:38:49,6.4667,12.6333,88.47,18,71,7.07,broken clouds
212,212,Faya,SA,2022-03-12 17:38:49,18.3851,42.4509,62.71,65,17,3.74,few clouds
213,213,Cao Bang,VN,2022-03-12 17:38:50,22.6667,106.25,67.84,95,100,2.44,overcast clouds
214,214,Airai,TL,2022-03-12 17:38:50,-8.9266,125.4092,60.26,90,94,1.34,overcast clouds
215,215,Celestun,MX,2022-03-12 17:38:50,20.8667,-90.4,76.57,83,33,26.42,scattered clouds
216,216,Leningradskiy,RU,2022-03-12 17:38:51,69.3833,178.4167,1.71,78,46,4.72,scattered clouds
217,217,Ewa Beach,US,2022-03-12 17:38:51,21.3156,-158.0072,76.59,71,0,10.36,clear sky
218,218,Yulara,AU,2022-03-12 17:38:52,-25.2406,130.9889,73.24,23,31,6.91,scattered clouds
219,219,Port Augusta,AU,2022-03-12 17:38:52,-32.5,137.7667,69.51,24,28,7.38,scattered clouds
220,220,Namatanai,PG,2022-03-12 17:38:52,-3.6667,152.4333,78.49,78,34,6.4,scattered clouds
221,221,Rayong,TH,2022-03-12 17:34:47,12.8333,101.4333,85.8,99,84,3.87,broken clouds
222,222,Ambulu,ID,2022-03-12 17:38:53,-8.345,113.6058,76.33,89,100,2.95,overcast clouds
223,223,Chesley,CA,2022-03-12 17:38:53,44.2966,-81.0952,20.79,81,100,21.45,light snow
224,224,Dudinka,RU,2022-03-12 17:38:53,69.4058,86.1778,-23.57,100,26,7.94,scattered clouds
225,225,Kasongo-Lunda,CD,2022-03-12 17:38:54,-6.4667,16.8167,71.53,98,90,2.77,heavy intensity rain
226,226,Ahipara,NZ,2022-03-12 17:38:54,-35.1667,173.1667,66.7,91,99,3.62,overcast clouds
227,227,Bengkulu,ID,2022-03-12 17:38:55,-3.8004,102.2655,76.39,91,92,4.41,moderate rain
228,228,Constitucion,CL,2022-03-12 17:38:55,-35.3333,-72.4167,68.63,61,5,6.24,clear sky
229,229,Sitka,US,2022-03-12 17:38:55,57.0531,-135.33,39.09,87,100,5.75,light rain
230,230,Ponta Do Sol,PT,2022-03-12 17:39:55,32.6667,-17.1,68.0,68,97,11.03,overcast clouds
231,231,Caceres,ES,2022-03-12 17:39:56,39.522,-6.3748,52.09,87,100,9.48,light rain
232,232,Krasnomayskiy,RU,2022-03-12 17:39:56,57.6194,34.4099,21.51,99,71,2.84,broken clouds
233,233,Nagarote,NI,2022-03-12 17:39:57,12.2659,-86.5647,89.28,33,5,5.21,clear sky
234,234,Soyo,AO,2022-03-12 17:39:57,-6.1349,12.3689,81.14,77,100,6.78,overcast clouds
235,235,Kui Buri,TH,2022-03-12 17:39:57,12.0828,99.8543,77.95,77,97,5.48,overcast clouds
236,236,Baykit,RU,2022-03-12 17:39:58,61.67,96.37,-19.25,99,93,3.18,overcast clouds
237,237,Lavrentiya,RU,2022-03-12 17:39:58,65.5833,-171.0,1.62,80,3,8.43,clear sky
238,238,Namibe,AO,2022-03-12 17:39:59,-15.1961,12.1522,73.44,81,92,13.6,overcast clouds
239,239,Carnarvon,AU,2022-03-12 17:39:59,-24.8667,113.6333,75.27,83,4,12.66,clear sky
240,240,Niamey,NE,2022-03-12 17:40:00,13.5137,2.1098,98.89,9,31,6.91,dust
241,241,Tomatlan,MX,2022-03-12 17:40:00,19.9333,-105.25,84.27,36,0,8.68,clear sky
242,242,East London,ZA,2022-03-12 17:35:06,-33.0153,27.9116,83.34,74,0,5.75,clear sky
243,243,Vanavara,RU,2022-03-12 17:40:01,60.34,102.2797,-19.07,100,95,1.81,overcast clouds
244,244,Majene,ID,2022-03-12 17:40:01,-3.5403,118.9707,78.55,86,100,4.97,moderate rain
