City_ID,City,Country,Max Temp,Decription,Lat,Lng,Hotel Name
249,Lorengau,PG,81.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
251,Mackay,AU,80.58,broken clouds,-21.15,149.2,International Lodge Motel
252,Daud Khel,PK,73.96,broken clouds,32.875,71.5701,MLCFL CFPP Hostel 6
254,Cochabamba,BO,71.35,broken clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
256,Tabuk,PH,71.62,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
261,Cangucu,BR,74.41,clear sky,-31.395,-52.6756,Tchê Parque
262,Charters Towers,AU,72.12,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
265,Camana,PE,76.26,broken clouds,-16.6228,-72.7111,Hostal Morales
266,Berberati,CF,75.29,overcast clouds,4.2612,15.7922,MAIRIE DE BERBERATI
271,Sambava,MG,78.12,light rain,-14.2667,50.1667,Melrose
278,Beloha,MG,76.14,clear sky,-25.1667,45.05,
283,Buchanan,LR,82.98,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
288,Port Shepstone,ZA,77.14,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
298,Bahia Blanca,AR,81.84,clear sky,-38.7196,-62.2724,Hotel Argos
302,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
303,Faanui,PF,81.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Coahuayana,MX,86.07,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
307,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
309,Mlonggo,ID,78.93,overcast clouds,-6.5333,110.7,Asia Metal Art
310,Beroroha,MG,78.21,overcast clouds,-21.6667,45.1667,
314,Mae Tha,TH,86.45,overcast clouds,18.4646,99.1403,Pichamol Resort and Nursing Home
315,Huarmey,PE,77.88,broken clouds,-10.0681,-78.1522,Hotel Miramar
316,Sibolga,ID,76.87,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
320,Richards Bay,ZA,76.44,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
321,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
325,Kidal,ML,85.78,clear sky,18.4411,1.4078,
328,Foso,GH,83.1,broken clouds,5.7012,-1.2866,Pristina Cottage
330,Sabang,ID,82.81,broken clouds,5.8933,95.3214,Hotel Citra
334,Epe,NG,81.82,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
335,The Valley,AI,82.81,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
336,Adrar,MR,82.63,clear sky,20.5022,-10.0711,
337,Gamba,GA,78.57,moderate rain,-2.65,10.0,
339,Kalmunai,LK,78.69,broken clouds,7.4167,81.8167,VS Villa
340,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
344,Matara,LK,77.36,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
346,Araouane,ML,83.28,clear sky,18.9048,-3.5265,
348,Bhongir,IN,79.0,few clouds,17.5108,78.8889,Hotel Vivera
352,Lusambo,CD,70.45,overcast clouds,-4.9667,23.45,
355,Sola,VU,81.59,broken clouds,-13.8833,167.55,Leumerus Bungalows
359,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
360,Moron,AR,77.02,clear sky,-34.6534,-58.6198,Hotel Morón
361,Guerrero Negro,MX,70.3,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
362,Wajid,SO,87.57,overcast clouds,3.8093,43.2471,xamdihotelresturant114
369,Aurad,IN,82.2,broken clouds,18.25,77.4333,krishnakanth boode
374,Raga,SS,84.36,overcast clouds,8.4596,25.678,
376,Caravelas,BR,85.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
379,Farah,AF,74.34,scattered clouds,32.5,62.5,
382,Gwadar,PK,77.65,broken clouds,25.1216,62.3254,Sadaf Resort
383,Hobyo,SO,78.6,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
385,Mococa,BR,81.03,overcast clouds,-21.4678,-47.0047,LETOH HOTEL
389,Puerto Suarez,BO,79.36,overcast clouds,-18.95,-57.8,Hotel casa real
398,Kieta,PG,76.96,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
399,Mahajanga,MG,75.22,thunderstorm with light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
403,Gold Coast,AU,70.0,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
408,Sapa,PH,81.03,scattered clouds,5.1544,120.3241,
410,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
412,Mae Chan,TH,78.46,broken clouds,20.1467,99.8526,Kiang Dao Resort
413,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
414,Ibra,OM,77.11,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
416,Inirida,CO,87.3,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
417,Black River,JM,86.5,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
419,Trairi,BR,82.33,overcast clouds,-3.2778,-39.2689,janelas do mar
422,Biak,ID,75.74,overcast clouds,-0.9131,122.8766,Penginapan Kim
423,Manokwari,ID,78.66,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
424,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
428,Ishigaki,JP,70.39,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
429,Tank,PK,77.85,overcast clouds,32.2217,70.3793,Gula Jan Abdulai
430,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
432,Mto Wa Mbu,TZ,75.58,overcast clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
435,Potchefstroom,ZA,70.84,overcast clouds,-26.7167,27.1,Melrose Place Guestrooms
